|    |    ASP | Brand        | Category01   | Category02   | Category03   |       Code | Color       | Image URL                                                                                                                                                            | Name                                      |    OSP | Size   |   Stock |
|---:|-------:|:-------------|:-------------|:-------------|:-------------|-----------:|:------------|:---------------------------------------------------------------------------------------------------------------------------------------------------------------------|:------------------------------------------|-------:|:-------|--------:|
|  0 | 149.95 | Airforce     | Men          | Kleding      | Jassen       | 3854050003 | Donkerblauw | //cdn-1.debijenkorf.nl/web_detail/airforce-softshell-jack-met-borstzak/?reference=038/540/13_0385405000386002_pro_mod_frt_01_1108_1528_5036995.jpg                   | Softshell jack met borstzak               | 149.95 | XS     |       7 |
|  1 | 149.95 | Airforce     | Men          | Kleding      | Jassen       | 3854050003 | Donkerblauw | //cdn-1.debijenkorf.nl/web_detail/airforce-softshell-jack-met-borstzak/?reference=038/540/13_0385405000386002_pro_mod_frt_01_1108_1528_5036995.jpg                   | Softshell jack met borstzak               | 149.95 | S      |      68 |
|  2 | 149.95 | Airforce     | Men          | Kleding      | Jassen       | 3854050003 | Donkerblauw | //cdn-1.debijenkorf.nl/web_detail/airforce-softshell-jack-met-borstzak/?reference=038/540/13_0385405000386002_pro_mod_frt_01_1108_1528_5036995.jpg                   | Softshell jack met borstzak               | 149.95 | M      |     119 |
|  3 | 149.95 | Airforce     | Men          | Kleding      | Jassen       | 3854050003 | Donkerblauw | //cdn-1.debijenkorf.nl/web_detail/airforce-softshell-jack-met-borstzak/?reference=038/540/13_0385405000386002_pro_mod_frt_01_1108_1528_5036995.jpg                   | Softshell jack met borstzak               | 149.95 | L      |      78 |
|  4 | 149.95 | Airforce     | Men          | Kleding      | Jassen       | 3854050003 | Donkerblauw | //cdn-1.debijenkorf.nl/web_detail/airforce-softshell-jack-met-borstzak/?reference=038/540/13_0385405000386002_pro_mod_frt_01_1108_1528_5036995.jpg                   | Softshell jack met borstzak               | 149.95 | XL     |      43 |
|  5 | 149.95 | Airforce     | Men          | Kleding      | Jassen       | 3854050003 | Grijs       | //cdn-1.debijenkorf.nl/web_detail/airforce-softshell-jack-met-borstzak/?reference=038/540/13_0385405000329002_pro_mod_frt_01_1108_1528_5036991.jpg                   | Softshell jack met borstzak               | 149.95 | XS     |       1 |
|  6 | 149.95 | Airforce     | Men          | Kleding      | Jassen       | 3854050003 | Grijs       | //cdn-1.debijenkorf.nl/web_detail/airforce-softshell-jack-met-borstzak/?reference=038/540/13_0385405000329002_pro_mod_frt_01_1108_1528_5036991.jpg                   | Softshell jack met borstzak               | 149.95 | S      |      49 |
|  7 | 149.95 | Airforce     | Men          | Kleding      | Jassen       | 3854050003 | Grijs       | //cdn-1.debijenkorf.nl/web_detail/airforce-softshell-jack-met-borstzak/?reference=038/540/13_0385405000329002_pro_mod_frt_01_1108_1528_5036991.jpg                   | Softshell jack met borstzak               | 149.95 | M      |      90 |
|  8 | 149.95 | Airforce     | Men          | Kleding      | Jassen       | 3854050003 | Grijs       | //cdn-1.debijenkorf.nl/web_detail/airforce-softshell-jack-met-borstzak/?reference=038/540/13_0385405000329002_pro_mod_frt_01_1108_1528_5036991.jpg                   | Softshell jack met borstzak               | 149.95 | L      |      49 |
